
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.01      0.55      0.04     -0.91      0.80    356.85      1.01
          grass-L_factor[1,0]      0.01      0.55      0.04     -0.91      0.80    356.85      1.01
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    296.30      1.00
          grass-kernel_length 413335.32 9175093.84      0.39      0.00      5.75    502.05      1.00
             grass-kernel_var      0.25      1.02      0.01      0.00      0.46    218.12      1.00
           grass-proj_mean[0]     -0.10      1.00     -0.07     -1.83      1.51    332.01      1.00
           grass-proj_mean[1]      0.56      0.08      0.56      0.44      0.74    155.32      1.00
              grass-sigmas[0]      1.68      1.97      1.01      0.09      3.75    265.33      1.00
              grass-sigmas[1]      1.01      1.33      0.61      0.04      2.04    353.21      1.00
grass-standard_proj_params[0]      0.06      0.89      0.03     -1.33      1.58    312.11      1.00
grass-standard_proj_params[1]      0.13      0.80      0.15     -1.14      1.56    357.24      1.00
grass-standard_proj_params[2]     -0.01      1.01      0.03     -1.63      1.55    349.23      1.00
grass-standard_proj_params[3]      0.45      0.87      0.43     -0.89      1.95    331.32      1.01
grass-standard_proj_params[4]     -0.08      0.97     -0.06     -1.62      1.50    306.11      1.01
grass-standard_proj_params[5]     -0.36      1.00     -0.37     -1.86      1.43    244.07      1.00
grass-standard_proj_params[6]     -0.02      1.07     -0.06     -1.60      1.73    332.35      1.01
grass-standard_proj_params[7]     -0.78      0.95     -0.78     -2.26      0.86    220.03      1.00
grass-standard_proj_params[8]     -0.03      0.98     -0.08     -1.34      1.75    396.03      1.00
grass-standard_proj_params[9]     -0.36      0.88     -0.36     -1.72      1.08    177.99      1.00
            reg-kernel_length      0.52      0.09      0.51      0.38      0.67    237.82      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.15    352.62      1.00
               reg-kernel_var      2.54      2.13      1.97      0.67      4.66    239.90      1.00

Number of divergences: 6
