
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.03      0.57     -0.04     -0.99      0.78    142.53      1.01
          grass-L_factor[1,0]     -0.03      0.57     -0.04     -0.99      0.78    142.53      1.01
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    245.32      1.00
           grass-proj_mean[0]     -0.03      0.98     -0.02     -1.54      1.63    489.76      1.00
           grass-proj_mean[1]      0.01      0.20      0.01     -0.34      0.31    315.56      1.01
              grass-sigmas[0]      1.54      2.62      0.94      0.04      2.95    505.16      1.00
              grass-sigmas[1]      1.40      0.51      1.28      0.63      2.13    381.00      1.00
grass-standard_proj_params[0]      0.05      0.91      0.10     -1.48      1.55    408.22      1.00
grass-standard_proj_params[1]     -0.07      0.71     -0.04     -1.28      1.01    326.88      1.00
grass-standard_proj_params[2]     -0.02      0.90      0.03     -1.49      1.32    433.11      1.00
grass-standard_proj_params[3]      0.31      0.72      0.37     -0.85      1.42    382.97      1.00
grass-standard_proj_params[4]      0.12      1.11      0.12     -1.75      1.74    243.68      1.00
grass-standard_proj_params[5]     -0.82      0.80     -0.85     -2.23      0.34    361.55      1.00
grass-standard_proj_params[6]     -0.13      1.18     -0.13     -1.86      1.86    168.23      1.01
grass-standard_proj_params[7]      1.09      0.83      1.16     -0.18      2.42    406.18      1.00
grass-standard_proj_params[8]      0.02      0.98      0.04     -1.51      1.52    303.28      1.00
grass-standard_proj_params[9]     -0.47      0.74     -0.48     -1.69      0.70    380.91      1.00

Number of divergences: 0
