
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.01      0.59     -0.03     -0.91      0.84    179.76      1.01
          grass-L_factor[1,0]      0.01      0.59     -0.03     -0.91      0.84    179.76      1.01
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    196.99      1.00
           grass-proj_mean[0]     -0.05      1.02     -0.03     -1.60      1.57    393.43      1.00
           grass-proj_mean[1]      0.16      0.29      0.15     -0.27      0.66    342.93      1.00
              grass-sigmas[0]      1.62      2.11      0.93      0.08      3.73    454.56      1.00
              grass-sigmas[1]      1.86      0.73      1.67      0.98      2.87    183.38      1.00
grass-standard_proj_params[0]     -0.07      0.88     -0.05     -1.60      1.18    334.00      1.00
grass-standard_proj_params[1]     -0.34      0.67     -0.34     -1.45      0.70    370.89      1.00
grass-standard_proj_params[2]      0.06      0.88      0.05     -1.36      1.50    467.90      1.00
grass-standard_proj_params[3]      0.03      0.66     -0.02     -0.97      1.10    421.54      1.00
grass-standard_proj_params[4]     -0.06      1.08     -0.02     -1.82      1.60    333.70      1.00
grass-standard_proj_params[5]     -0.82      0.81     -0.87     -2.21      0.40    329.95      1.00
grass-standard_proj_params[6]     -0.03      1.28     -0.02     -2.01      2.00    214.67      1.00
grass-standard_proj_params[7]      1.35      0.83      1.40      0.04      2.58    418.17      1.00
grass-standard_proj_params[8]      0.00      0.88     -0.00     -1.43      1.52    446.10      1.00
grass-standard_proj_params[9]     -0.19      0.69     -0.18     -1.15      1.02    377.24      1.00

Number of divergences: 0
