
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.04      0.60      0.04     -0.82      0.93     31.62      1.03
          grass-L_factor[1,0]      0.04      0.60      0.04     -0.82      0.93     31.62      1.03
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    351.40      1.00
           grass-proj_mean[0]     -0.01      1.05     -0.13     -1.43      1.90     89.34      1.00
           grass-proj_mean[1]     -0.29      1.08     -0.29     -2.28      1.23     54.93      1.02
              grass-sigmas[0]      1.74      1.68      1.26      0.09      3.61     59.93      1.10
              grass-sigmas[1]      4.51      2.57      4.32      0.31      8.09     73.30      1.00
grass-standard_proj_params[0]     -0.06      0.84     -0.10     -1.23      1.39     33.59      1.02
grass-standard_proj_params[1]     -0.16      0.78     -0.09     -1.12      1.62     25.78      1.04
grass-standard_proj_params[2]      0.10      0.95      0.19     -1.34      1.78     78.53      1.01
grass-standard_proj_params[3]      0.52      0.65      0.51     -0.53      1.62     54.19      1.00
grass-standard_proj_params[4]     -0.07      1.11     -0.10     -1.60      1.91    100.13      1.00
grass-standard_proj_params[5]     -0.86      1.03     -1.00     -2.56      0.66     73.23      1.00
grass-standard_proj_params[6]     -0.13      1.07     -0.16     -2.01      1.36     69.03      1.03
grass-standard_proj_params[7]     -0.86      0.96     -0.89     -2.27      0.72    197.65      1.00
grass-standard_proj_params[8]     -0.05      1.10      0.02     -2.03      1.46     41.61      1.08
grass-standard_proj_params[9]     -1.41      0.85     -1.42     -2.85     -0.10    218.71      1.01

Number of divergences: 62
