
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.03      0.60      0.04     -0.88      0.89     37.81      1.00
          grass-L_factor[1,0]      0.03      0.60      0.04     -0.88      0.89     37.81      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    338.28      1.00
          grass-kernel_length      2.83      2.86      1.90      0.35      5.89     28.01      1.06
             grass-kernel_var     14.45     65.35      0.94      0.00     25.15    129.26      1.00
           grass-proj_mean[0]      0.08      1.00     -0.00     -1.24      2.00    219.88      1.00
           grass-proj_mean[1]      0.05      0.66     -0.00     -1.10      1.05     61.14      1.00
              grass-sigmas[0]      1.40      1.46      0.91      0.11      3.43    255.09      1.00
              grass-sigmas[1]      1.70      2.02      0.98      0.05      3.89     28.34      1.02
grass-standard_proj_params[0]     -0.20      0.99     -0.17     -1.64      1.71     78.14      1.01
grass-standard_proj_params[1]     -0.54      0.80     -0.43     -1.74      0.93    170.47      1.01
grass-standard_proj_params[2]     -0.07      0.99     -0.08     -1.51      1.70     88.49      1.01
grass-standard_proj_params[3]      0.58      0.64      0.55     -0.37      1.65    104.98      1.00
grass-standard_proj_params[4]     -0.14      1.17     -0.13     -2.12      1.59     79.58      1.00
grass-standard_proj_params[5]      0.05      0.76      0.05     -1.16      1.37    138.32      1.00
grass-standard_proj_params[6]      0.15      1.03      0.17     -1.37      2.08    118.87      1.00
grass-standard_proj_params[7]      0.94      0.81      0.96     -0.43      2.10    187.96      1.00
grass-standard_proj_params[8]      0.01      1.00     -0.08     -1.53      1.65    112.88      1.00
grass-standard_proj_params[9]      0.26      0.83      0.25     -0.95      1.77    105.15      1.00
            reg-kernel_length      0.47      0.07      0.47      0.34      0.58    117.51      1.07
             reg-kernel_noise      0.12      0.02      0.12      0.10      0.15    172.24      1.01
               reg-kernel_var      2.12      1.49      1.81      0.66      3.46    118.60      1.04

Number of divergences: 3
