
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.01      0.58     -0.01     -0.81      0.96     96.86      1.00
          grass-L_factor[1,0]     -0.01      0.58     -0.01     -0.81      0.96     96.86      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    131.15      1.00
          grass-kernel_length      0.02      0.03      0.01      0.00      0.08    379.88      1.00
             grass-kernel_var      5.87     26.26      0.88      0.00     11.86    269.35      1.00
              grass-sigmas[0]      1.47      1.65      0.92      0.10      3.60    342.17      1.00
              grass-sigmas[1]      1.54      1.89      0.98      0.10      3.25    478.33      1.00
grass-standard_proj_params[0]     -0.01      0.78      0.01     -1.45      1.09    299.48      1.00
grass-standard_proj_params[1]     -0.04      0.55     -0.01     -1.05      0.87    294.56      1.00
grass-standard_proj_params[2]     -0.02      1.32      0.02     -2.45      1.92    141.91      1.00
grass-standard_proj_params[3]      1.26      0.86      1.38     -0.34      2.48    348.73      1.00
grass-standard_proj_params[4]     -0.02      0.81     -0.06     -1.34      1.27    275.91      1.00
grass-standard_proj_params[5]     -0.33      0.58     -0.34     -1.32      0.54    355.11      1.00
grass-standard_proj_params[6]     -0.03      0.99     -0.03     -1.54      1.49    176.92      1.00
grass-standard_proj_params[7]      0.82      0.62      0.90     -0.12      1.89    342.77      1.00
grass-standard_proj_params[8]     -0.03      0.90     -0.07     -1.48      1.30    179.85      1.00
grass-standard_proj_params[9]     -0.66      0.65     -0.71     -1.52      0.52    300.56      1.00
            reg-kernel_length      0.25      0.05      0.24      0.16      0.33    237.45      1.01
             reg-kernel_noise      0.22      0.03      0.22      0.17      0.28    354.81      1.01
               reg-kernel_var      1.16      0.54      1.06      0.46      1.86    360.36      1.00

Number of divergences: 0
