
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.04      0.08     -0.04     -0.18      0.08     10.24      1.00
          grass-L_factor[1,0]     -0.04      0.08     -0.04     -0.18      0.08     10.24      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    571.27      1.00
           grass-proj_mean[0]      0.35      0.68      0.33     -0.51      1.88      8.40      1.25
           grass-proj_mean[1]      0.10      0.70      0.10     -1.04      1.19      8.41      1.56
              grass-sigmas[0]      1.60      0.86      1.43      0.44      2.71      9.24      1.14
              grass-sigmas[1]    139.30     13.46    140.54    113.01    157.90      5.15      1.61
grass-standard_proj_params[0]     -1.50      0.98     -1.69     -2.68      0.14      3.93      1.10
grass-standard_proj_params[1]     -0.06      0.12     -0.06     -0.26      0.13      9.66      1.06
grass-standard_proj_params[2]     -0.55      0.21     -0.53     -0.92     -0.21      8.40      1.36
grass-standard_proj_params[3]     -0.02      0.05     -0.01     -0.10      0.07      7.07      1.04
grass-standard_proj_params[4]     -0.09      0.28     -0.11     -0.54      0.41      4.48      1.30
grass-standard_proj_params[5]     -0.09      0.02     -0.09     -0.12     -0.05     17.99      1.16
grass-standard_proj_params[6]     -0.14      0.49     -0.12     -0.95      0.61     16.51      1.00
grass-standard_proj_params[7]      0.74      0.09      0.73      0.61      0.90      3.86      1.90
grass-standard_proj_params[8]      1.27      0.73      1.17      0.22      2.45      4.11      1.17
grass-standard_proj_params[9]     -2.61      0.31     -2.55     -3.23     -2.21      3.97      1.77

Number of divergences: 0
