
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.01      0.57     -0.08     -0.77      1.00    203.34      1.00
          grass-L_factor[1,0]     -0.01      0.57     -0.08     -0.77      1.00    203.34      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    356.97      1.00
           grass-proj_mean[0]      0.02      0.99      0.05     -1.51      1.68    485.95      1.00
           grass-proj_mean[1]     -0.36      0.56     -0.36     -1.20      0.61    346.59      1.00
              grass-sigmas[0]      1.78      3.46      1.09      0.06      3.85    395.41      1.00
              grass-sigmas[1]      0.66      0.26      0.61      0.28      1.03    214.13      1.00
grass-standard_proj_params[0]     -0.04      0.89     -0.00     -1.40      1.57    299.67      1.01
grass-standard_proj_params[1]      0.20      0.66      0.18     -0.76      1.42    472.61      1.00
grass-standard_proj_params[2]     -0.00      1.07      0.06     -1.82      1.56    248.87      1.00
grass-standard_proj_params[3]     -0.80      0.74     -0.82     -1.90      0.51    492.84      1.00
grass-standard_proj_params[4]      0.02      0.90      0.04     -1.36      1.65    449.30      1.00
grass-standard_proj_params[5]      0.15      0.70      0.13     -0.90      1.45    426.66      1.00
grass-standard_proj_params[6]      0.08      1.01      0.16     -1.55      1.72    253.78      1.00
grass-standard_proj_params[7]      0.83      0.78      0.87     -0.48      2.11    349.15      1.00
grass-standard_proj_params[8]      0.07      1.05      0.07     -1.45      1.81    322.72      1.00
grass-standard_proj_params[9]     -0.70      0.71     -0.72     -1.94      0.30    325.99      1.00

Number of divergences: 0
