
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.05      0.57      0.08     -0.75      0.98    236.02      1.00
          grass-L_factor[1,0]      0.05      0.57      0.08     -0.75      0.98    236.02      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    472.17      1.00
          grass-kernel_length   6971.76 129918.15      0.57      0.00      8.38    501.86      1.00
             grass-kernel_var      0.33      1.48      0.02      0.00      0.51    363.48      1.00
           grass-proj_mean[0]      0.01      1.02      0.08     -1.51      1.80    443.04      1.00
           grass-proj_mean[1]      0.54      0.11      0.55      0.35      0.71    308.14      1.00
              grass-sigmas[0]      1.51      1.60      1.04      0.11      3.21    429.35      1.01
              grass-sigmas[1]      1.15      2.05      0.67      0.04      2.38    346.41      1.00
grass-standard_proj_params[0]      0.09      1.01      0.11     -1.32      1.87    313.00      1.00
grass-standard_proj_params[1]      0.21      0.90      0.21     -1.14      1.69    349.15      1.00
grass-standard_proj_params[2]     -0.02      1.07      0.03     -1.91      1.60    392.78      1.00
grass-standard_proj_params[3]      0.48      0.93      0.44     -1.03      1.97    303.53      1.00
grass-standard_proj_params[4]      0.02      1.04      0.06     -1.59      1.85    379.60      1.03
grass-standard_proj_params[5]     -0.32      0.92     -0.27     -1.74      1.27    227.77      1.00
grass-standard_proj_params[6]      0.01      1.00      0.05     -1.63      1.57    349.50      1.00
grass-standard_proj_params[7]     -0.74      0.93     -0.73     -2.57      0.55    326.74      1.00
grass-standard_proj_params[8]      0.01      1.03      0.00     -1.77      1.63    337.33      1.01
grass-standard_proj_params[9]     -0.30      0.88     -0.34     -1.63      1.27    264.07      1.00
            reg-kernel_length      0.52      0.08      0.51      0.40      0.65    308.46      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.16    402.43      1.00
               reg-kernel_var      2.40      1.79      1.87      0.68      4.25    276.56      1.00

Number of divergences: 0
