
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.03      0.59     -0.05     -0.98      0.81    159.69      1.00
          grass-L_factor[1,0]     -0.03      0.59     -0.05     -0.98      0.81    159.69      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    376.84      1.00
          grass-kernel_length    710.88   8657.37      4.55      0.24     36.57    396.11      1.00
             grass-kernel_var      4.21     11.65      0.53      0.00      9.63    286.14      1.00
              grass-sigmas[0]      1.51      1.69      0.99      0.06      3.44    291.50      1.00
              grass-sigmas[1]      1.43      1.52      0.96      0.09      2.93    440.77      1.00
grass-standard_proj_params[0]     -0.05      1.05     -0.02     -1.94      1.40    284.73      1.00
grass-standard_proj_params[1]      0.79      0.82      0.80     -0.46      2.02    229.15      1.00
grass-standard_proj_params[2]     -0.04      1.00     -0.03     -1.75      1.54    434.02      1.00
grass-standard_proj_params[3]      0.06      0.75      0.04     -1.11      1.36    335.41      1.00
grass-standard_proj_params[4]      0.00      0.94     -0.01     -1.33      1.65    447.59      1.00
grass-standard_proj_params[5]     -0.62      0.92     -0.61     -2.01      0.98    449.70      1.00
grass-standard_proj_params[6]      0.04      1.05      0.05     -1.67      1.62    465.09      1.00
grass-standard_proj_params[7]     -0.68      0.93     -0.71     -2.06      0.82    387.78      1.01
grass-standard_proj_params[8]      0.01      0.94      0.02     -1.52      1.43    476.03      1.00
grass-standard_proj_params[9]     -0.10      0.98     -0.08     -1.72      1.41    273.45      1.00
            reg-kernel_length      0.52      0.08      0.52      0.39      0.64    324.09      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.16    439.37      1.00
               reg-kernel_var      2.50      1.82      2.00      0.64      4.38    163.77      1.00

Number of divergences: 0
