
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.07      0.57      0.09     -0.72      1.00    224.58      1.00
          grass-L_factor[1,0]      0.07      0.57      0.09     -0.72      1.00    224.58      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    188.10      1.00
           grass-proj_mean[0]     -0.02      0.99      0.01     -1.63      1.62    477.01      1.00
           grass-proj_mean[1]      0.02      0.26      0.02     -0.37      0.42    220.55      1.01
              grass-sigmas[0]      1.58      2.90      0.86      0.05      3.42    412.72      1.00
              grass-sigmas[1]      0.52      0.23      0.46      0.21      0.81    192.05      1.00
grass-standard_proj_params[0]      0.02      0.81      0.03     -1.33      1.28    447.28      1.00
grass-standard_proj_params[1]     -0.07      0.68     -0.08     -1.15      1.05    455.74      1.00
grass-standard_proj_params[2]      0.06      0.83      0.05     -1.33      1.36    509.80      1.00
grass-standard_proj_params[3]      0.28      0.69      0.27     -1.02      1.22    406.03      1.00
grass-standard_proj_params[4]     -0.10      1.05     -0.14     -2.00      1.44    289.32      1.00
grass-standard_proj_params[5]     -0.83      0.77     -0.80     -2.10      0.34    432.84      1.00
grass-standard_proj_params[6]      0.11      1.13      0.18     -1.67      2.05    296.63      1.00
grass-standard_proj_params[7]      0.99      0.84      1.03     -0.28      2.40    238.67      1.00
grass-standard_proj_params[8]      0.00      0.91     -0.07     -1.70      1.33    460.97      1.00
grass-standard_proj_params[9]     -0.46      0.71     -0.47     -1.63      0.74    474.05      1.00

Number of divergences: 0
