
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.00      0.57     -0.02     -0.92      0.84     56.19      1.04
          grass-L_factor[1,0]     -0.00      0.57     -0.02     -0.92      0.84     56.19      1.04
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    250.35      1.00
           grass-proj_mean[0]      0.01      0.96      0.07     -1.61      1.55    260.57      1.00
           grass-proj_mean[1]      0.07      0.93      0.09     -1.51      1.41    355.96      1.00
              grass-sigmas[0]      1.64      2.14      1.05      0.04      3.58    428.71      1.00
              grass-sigmas[1]      1.60      0.75      1.48      0.46      2.69    110.36      1.00
grass-standard_proj_params[0]      0.06      0.80      0.02     -1.19      1.30    278.36      1.04
grass-standard_proj_params[1]      0.33      0.63      0.31     -0.80      1.30    259.58      1.01
grass-standard_proj_params[2]     -0.02      0.96     -0.05     -1.56      1.49    158.52      1.01
grass-standard_proj_params[3]     -0.75      0.70     -0.71     -1.87      0.35    206.23      1.01
grass-standard_proj_params[4]     -0.06      0.87     -0.08     -1.60      1.22    337.92      1.00
grass-standard_proj_params[5]      0.02      0.67      0.07     -1.03      1.10    217.85      1.04
grass-standard_proj_params[6]     -0.07      1.10     -0.10     -1.81      1.79    137.18      1.02
grass-standard_proj_params[7]     -0.81      1.02     -0.91     -2.38      0.76    264.63      1.03
grass-standard_proj_params[8]     -0.00      1.06      0.02     -1.63      1.71    354.60      1.01
grass-standard_proj_params[9]     -1.37      0.91     -1.41     -2.86     -0.01    352.62      1.01

Number of divergences: 17
