
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.05      0.58     -0.04     -1.00      0.76    323.96      1.00
          grass-L_factor[1,0]     -0.05      0.58     -0.04     -1.00      0.76    323.96      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    274.24      1.00
          grass-kernel_length    981.19   7041.44      5.75      0.51    105.03     75.95      1.02
             grass-kernel_var      5.97     23.52      0.62      0.00     12.11    374.74      1.00
              grass-sigmas[0]      1.56      1.65      1.01      0.06      3.33    385.88      1.01
              grass-sigmas[1]      1.45      1.82      0.92      0.08      2.96    371.94      1.00
grass-standard_proj_params[0]     -0.09      1.03     -0.09     -1.71      1.53    295.28      1.00
grass-standard_proj_params[1]      0.74      0.81      0.71     -0.42      2.25    333.56      1.00
grass-standard_proj_params[2]     -0.02      0.97     -0.05     -1.48      1.76    447.65      1.00
grass-standard_proj_params[3]      0.08      0.79      0.11     -1.17      1.30    312.03      1.00
grass-standard_proj_params[4]      0.03      0.99      0.05     -1.49      1.65    462.04      1.00
grass-standard_proj_params[5]     -0.56      0.90     -0.54     -2.08      0.78    480.55      1.00
grass-standard_proj_params[6]      0.04      1.03      0.08     -1.55      1.70    496.20      1.00
grass-standard_proj_params[7]     -0.64      0.99     -0.67     -2.33      0.95    363.99      1.00
grass-standard_proj_params[8]     -0.07      0.93     -0.11     -1.50      1.49    491.70      1.00
grass-standard_proj_params[9]     -0.01      0.94     -0.01     -1.37      1.57    316.35      1.00
            reg-kernel_length      0.52      0.07      0.51      0.39      0.64    433.99      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.16    431.52      1.00
               reg-kernel_var      2.43      1.54      2.02      0.58      4.34    304.30      1.00

Number of divergences: 0
