
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.00      0.55      0.00     -0.86      0.89    209.68      1.00
          grass-L_factor[1,0]     -0.00      0.55      0.00     -0.86      0.89    209.68      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    454.69      1.00
          grass-kernel_length    104.64   1225.63      0.53      0.00      5.15    503.13      1.00
             grass-kernel_var      0.27      1.39      0.02      0.00      0.38    360.52      1.00
           grass-proj_mean[0]      0.06      0.95      0.04     -1.45      1.71    414.07      1.00
           grass-proj_mean[1]      0.54      0.12      0.56      0.33      0.75    129.97      1.00
              grass-sigmas[0]      1.48      1.65      1.04      0.08      3.02    414.54      1.00
              grass-sigmas[1]      1.09      1.43      0.66      0.04      2.32    289.15      1.00
grass-standard_proj_params[0]      0.10      0.97      0.18     -1.61      1.52    302.47      1.00
grass-standard_proj_params[1]      0.24      0.86      0.28     -1.16      1.65    285.68      1.00
grass-standard_proj_params[2]     -0.01      1.07     -0.04     -1.91      1.59    241.25      1.00
grass-standard_proj_params[3]      0.43      0.85      0.40     -0.94      1.91    358.93      1.00
grass-standard_proj_params[4]      0.07      1.04      0.09     -1.54      1.77    235.69      1.00
grass-standard_proj_params[5]     -0.39      0.96     -0.41     -1.82      1.28    305.56      1.00
grass-standard_proj_params[6]      0.04      0.99      0.06     -1.52      1.72    429.70      1.00
grass-standard_proj_params[7]     -0.70      0.98     -0.69     -2.67      0.67    147.13      1.01
grass-standard_proj_params[8]     -0.02      1.04      0.02     -1.77      1.54    254.10      1.01
grass-standard_proj_params[9]     -0.28      0.96     -0.27     -1.66      1.60    123.67      1.00
            reg-kernel_length      0.52      0.08      0.52      0.41      0.67    148.51      1.01
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.15    273.33      1.01
               reg-kernel_var      2.69      2.21      1.85      0.58      5.70    102.73      1.00

Number of divergences: 0
