
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.01      0.56      0.04     -0.84      0.94    276.19      1.00
          grass-L_factor[1,0]     -0.01      0.56      0.04     -0.84      0.94    276.19      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    291.91      1.00
          grass-kernel_length      2.90      2.29      2.18      0.56      5.93    290.54      1.00
             grass-kernel_var      5.38     16.62      0.63      0.00     11.52    257.70      1.00
              grass-sigmas[0]      1.57      2.03      0.84      0.05      3.59    411.77      1.00
              grass-sigmas[1]      1.65      1.68      1.05      0.21      4.65     72.91      1.01
grass-standard_proj_params[0]     -0.20      1.10     -0.19     -2.32      1.22     55.04      1.02
grass-standard_proj_params[1]      0.72      0.72      0.66     -0.34      2.05    372.72      1.00
grass-standard_proj_params[2]     -0.00      1.06     -0.04     -1.61      1.73    242.35      1.00
grass-standard_proj_params[3]     -0.77      0.75     -0.74     -1.98      0.49    344.83      1.00
grass-standard_proj_params[4]     -0.04      0.93     -0.03     -1.53      1.36    315.67      1.01
grass-standard_proj_params[5]     -0.54      0.90     -0.45     -2.08      0.91    363.66      1.00
grass-standard_proj_params[6]     -0.04      1.00     -0.05     -1.65      1.45    367.20      1.01
grass-standard_proj_params[7]     -0.06      0.84     -0.09     -1.57      1.25    381.25      1.01
grass-standard_proj_params[8]     -0.08      0.98     -0.09     -1.42      1.54    214.93      1.01
grass-standard_proj_params[9]      0.07      0.80      0.04     -1.24      1.41    442.86      1.00
            reg-kernel_length      0.46      0.06      0.45      0.34      0.55    376.75      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.09      0.14    299.33      1.00
               reg-kernel_var      2.16      1.12      1.82      0.82      3.83    308.03      1.00

Number of divergences: 4
