
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.06      0.58     -0.10     -0.98      0.78    158.45      1.00
          grass-L_factor[1,0]     -0.06      0.58     -0.10     -0.98      0.78    158.45      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    533.22      1.00
          grass-kernel_length    672.13   6767.93      5.48      0.36     57.85    455.09      1.00
             grass-kernel_var      4.30     12.67      0.58      0.00     10.40    193.97      1.00
              grass-sigmas[0]      1.63      1.97      0.95      0.04      3.70    324.50      1.00
              grass-sigmas[1]      1.45      1.36      1.07      0.11      3.16    464.39      1.00
grass-standard_proj_params[0]     -0.11      1.02     -0.06     -1.95      1.44    289.63      1.00
grass-standard_proj_params[1]      0.75      0.76      0.72     -0.29      2.11    285.73      1.00
grass-standard_proj_params[2]     -0.01      0.97      0.01     -1.68      1.57    334.23      1.00
grass-standard_proj_params[3]      0.06      0.75      0.01     -1.21      1.22    213.69      1.02
grass-standard_proj_params[4]      0.01      0.96      0.07     -1.45      1.61    480.38      1.00
grass-standard_proj_params[5]     -0.60      0.90     -0.57     -2.12      0.79    477.97      1.00
grass-standard_proj_params[6]      0.02      0.99      0.07     -1.47      1.70    545.66      1.00
grass-standard_proj_params[7]     -0.74      0.99     -0.79     -2.38      0.85    510.53      1.00
grass-standard_proj_params[8]     -0.03      0.95     -0.03     -1.41      1.73    506.89      1.00
grass-standard_proj_params[9]     -0.10      1.00     -0.06     -1.66      1.52    346.67      1.00
            reg-kernel_length      0.51      0.07      0.51      0.40      0.65    391.40      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.16    470.01      1.00
               reg-kernel_var      2.43      1.62      1.99      0.72      4.43    314.54      1.00

Number of divergences: 0
