
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.08      0.59      0.06     -0.73      1.00     72.20      1.03
          grass-L_factor[1,0]      0.08      0.59      0.06     -0.73      1.00     72.20      1.03
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    300.49      1.00
           grass-proj_mean[0]      0.04      0.93     -0.01     -1.47      1.61    316.43      1.00
           grass-proj_mean[1]     -0.08      0.79     -0.02     -1.24      1.26    157.09      1.00
              grass-sigmas[0]      1.81      3.17      1.09      0.09      3.32    500.27      1.00
              grass-sigmas[1]      2.68      3.33      1.42      0.09      7.09     18.51      1.06
grass-standard_proj_params[0]     -0.00      0.92      0.07     -1.30      1.66    233.49      1.02
grass-standard_proj_params[1]     -0.11      0.94     -0.03     -1.70      1.60     48.70      1.03
grass-standard_proj_params[2]      0.11      0.96      0.16     -1.48      1.60    197.70      1.00
grass-standard_proj_params[3]      0.74      0.75      0.75     -0.57      1.91    154.74      1.00
grass-standard_proj_params[4]      0.04      1.01      0.05     -1.45      1.61    308.70      1.00
grass-standard_proj_params[5]     -0.29      1.08     -0.30     -2.07      1.42    135.25      1.00
grass-standard_proj_params[6]     -0.27      1.09     -0.23     -1.92      1.84     56.03      1.02
grass-standard_proj_params[7]      0.70      1.49      0.53     -1.49      2.97     26.66      1.00
grass-standard_proj_params[8]     -0.01      1.01     -0.11     -1.45      1.81    375.45      1.00
grass-standard_proj_params[9]     -0.87      1.22     -0.80     -2.75      1.21     40.28      1.00

Number of divergences: 41
