
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.09      0.25      0.11     -0.34      0.44     14.26      1.00
          grass-L_factor[1,0]      0.09      0.25      0.11     -0.34      0.44     14.26      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    424.01      1.00
           grass-proj_mean[0]     -0.07      0.88     -0.11     -1.32      1.49      7.90      1.16
           grass-proj_mean[1]      0.19      0.85      0.19     -1.44      1.32     35.62      1.00
              grass-sigmas[0]      2.51      2.81      1.87      0.07      4.53     26.29      1.00
              grass-sigmas[1]    273.67     51.14    266.15    202.74    361.67     11.99      1.19
grass-standard_proj_params[0]     -0.28      1.07     -0.56     -1.62      1.21      3.38      1.35
grass-standard_proj_params[1]     -0.03      0.24      0.03     -0.49      0.27      3.79      1.92
grass-standard_proj_params[2]      0.24      1.00      0.31     -1.18      1.82     10.90      1.02
grass-standard_proj_params[3]      0.01      0.18      0.02     -0.35      0.27     21.73      1.28
grass-standard_proj_params[4]      0.26      1.15      0.47     -1.43      2.22     10.51      1.08
grass-standard_proj_params[5]     -1.11      0.23     -1.10     -1.48     -0.73     13.31      1.25
grass-standard_proj_params[6]      0.63      1.10      0.36     -0.78      2.40      5.08      1.25
grass-standard_proj_params[7]      2.47      0.45      2.35      1.75      3.17     11.07      1.48
grass-standard_proj_params[8]      0.18      0.57      0.10     -0.81      1.15     14.71      1.08
grass-standard_proj_params[9]     -2.06      0.35     -2.01     -2.62     -1.47     14.25      1.32

Number of divergences: 20
