
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.01      0.58     -0.03     -0.91      0.85     95.65      1.00
          grass-L_factor[1,0]     -0.01      0.58     -0.03     -0.91      0.85     95.65      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    494.31      1.00
           grass-proj_mean[0]      0.06      0.97      0.05     -1.41      1.63    240.28      1.00
           grass-proj_mean[1]     -0.04      0.83     -0.02     -1.41      1.22    247.80      1.00
              grass-sigmas[0]      1.64      2.19      0.86      0.08      3.77    457.92      1.00
              grass-sigmas[1]      1.48      0.68      1.37      0.47      2.49    133.78      1.00
grass-standard_proj_params[0]     -0.09      0.77     -0.15     -1.31      1.17    157.70      1.01
grass-standard_proj_params[1]      0.26      0.65      0.27     -1.03      1.17    158.27      1.01
grass-standard_proj_params[2]      0.03      1.00     -0.05     -1.47      1.49    125.34      1.00
grass-standard_proj_params[3]     -0.66      0.72     -0.71     -1.69      0.57    145.70      1.00
grass-standard_proj_params[4]     -0.06      0.90     -0.01     -1.42      1.58    130.25      1.03
grass-standard_proj_params[5]     -0.03      0.81      0.02     -1.30      1.20    148.70      1.00
grass-standard_proj_params[6]      0.02      1.19      0.01     -1.96      1.95    126.92      1.00
grass-standard_proj_params[7]     -0.73      0.99     -0.76     -2.34      0.83    175.34      1.00
grass-standard_proj_params[8]     -0.01      1.11      0.00     -1.70      1.89    200.85      1.00
grass-standard_proj_params[9]     -1.32      0.96     -1.31     -2.76      0.22    128.87      1.00

Number of divergences: 35
