
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.01      0.55      0.01     -0.99      0.74    180.61      1.00
          grass-L_factor[1,0]     -0.01      0.55      0.01     -0.99      0.74    180.61      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    107.05      1.00
           grass-proj_mean[0]     -0.13      0.95     -0.14     -1.48      1.44    220.45      1.01
           grass-proj_mean[1]     -0.13      0.36     -0.12     -0.70      0.49    131.60      1.01
              grass-sigmas[0]      1.58      1.96      0.90      0.02      3.59    490.04      1.00
              grass-sigmas[1]      0.43      0.29      0.35      0.10      0.71     16.42      1.18
grass-standard_proj_params[0]     -0.07      0.93     -0.01     -1.62      1.30    125.41      1.01
grass-standard_proj_params[1]      0.13      0.66      0.14     -1.01      1.05    356.02      1.00
grass-standard_proj_params[2]      0.02      0.87      0.01     -1.56      1.30    400.55      1.01
grass-standard_proj_params[3]      0.22      0.61      0.20     -0.71      1.32    459.63      1.00
grass-standard_proj_params[4]      0.02      0.90      0.03     -1.36      1.49    284.18      1.00
grass-standard_proj_params[5]     -0.40      0.70     -0.39     -1.54      0.84    139.61      1.02
grass-standard_proj_params[6]     -0.15      1.07     -0.23     -1.75      1.68    288.60      1.01
grass-standard_proj_params[7]      0.75      0.72      0.74     -0.20      2.20    357.32      1.02
grass-standard_proj_params[8]      0.13      1.09      0.23     -1.64      1.72    201.56      1.01
grass-standard_proj_params[9]     -0.90      0.85     -0.86     -2.19      0.55     20.85      1.13

Number of divergences: 1
