
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.24      0.01      0.24      0.23      0.25      4.59      1.22
          grass-L_factor[1,0]      0.24      0.01      0.24      0.23      0.25      4.59      1.22
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    385.71      1.00
           grass-proj_mean[0]      0.71      0.01      0.71      0.70      0.72      3.12      2.09
           grass-proj_mean[1]     -0.00      0.01     -0.00     -0.02      0.01      3.28      2.16
              grass-sigmas[0]      0.98      0.01      0.98      0.97      1.00      3.06      1.88
              grass-sigmas[1]      7.88      0.04      7.88      7.82      7.94      7.34      1.22
grass-standard_proj_params[0]     -0.51      0.01     -0.51     -0.52     -0.49      4.18      1.03
grass-standard_proj_params[1]     -0.10      0.00     -0.10     -0.10     -0.10      4.15      1.63
grass-standard_proj_params[2]     -0.23      0.00     -0.23     -0.23     -0.22      6.58      1.48
grass-standard_proj_params[3]      0.12      0.00      0.12      0.12      0.13      2.81      2.81
grass-standard_proj_params[4]     -0.49      0.00     -0.49     -0.50     -0.49      6.02      1.00
grass-standard_proj_params[5]      1.84      0.01      1.84      1.83      1.84      8.02      1.00
grass-standard_proj_params[6]     -1.08      0.00     -1.08     -1.09     -1.07      4.44      1.75
grass-standard_proj_params[7]     -1.50      0.00     -1.50     -1.51     -1.49      2.97      2.52
grass-standard_proj_params[8]      0.71      0.01      0.71      0.69      0.71      2.71      2.21
grass-standard_proj_params[9]     -0.82      0.01     -0.83     -0.83     -0.81      4.57      1.17

Number of divergences: 0
