
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.05      0.61     -0.09     -0.97      0.88    223.75      1.00
          grass-L_factor[1,0]     -0.05      0.61     -0.09     -0.97      0.88    223.75      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    225.37      1.00
          grass-kernel_length     90.81   1090.35      4.56      0.49     29.07    407.39      1.00
             grass-kernel_var      3.78     12.86      0.63      0.00      8.72    478.83      1.00
              grass-sigmas[0]      1.50      1.80      0.92      0.07      3.15    259.23      1.00
              grass-sigmas[1]      1.44      1.58      0.93      0.09      2.97    516.35      1.00
grass-standard_proj_params[0]     -0.14      1.02     -0.14     -1.93      1.45    313.98      1.00
grass-standard_proj_params[1]      0.74      0.82      0.70     -0.55      2.03    170.45      1.00
grass-standard_proj_params[2]     -0.05      1.00     -0.08     -1.54      1.76    388.62      1.00
grass-standard_proj_params[3]      0.11      0.75      0.13     -1.13      1.32    364.80      1.01
grass-standard_proj_params[4]     -0.02      0.96      0.00     -1.88      1.30    423.10      1.00
grass-standard_proj_params[5]     -0.58      0.93     -0.57     -1.98      1.00    437.97      1.00
grass-standard_proj_params[6]      0.04      1.03      0.05     -1.49      1.85    328.40      1.00
grass-standard_proj_params[7]     -0.71      0.97     -0.76     -2.28      0.87    406.55      1.00
grass-standard_proj_params[8]     -0.03      0.94      0.03     -1.55      1.47    411.21      1.00
grass-standard_proj_params[9]     -0.01      0.96     -0.01     -1.77      1.32    386.09      1.00
            reg-kernel_length      0.52      0.07      0.51      0.39      0.63    272.91      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.16    315.88      1.00
               reg-kernel_var      2.33      1.45      1.95      0.67      3.94    286.96      1.00

Number of divergences: 0
