
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.03      0.57     -0.04     -0.95      0.78    219.94      1.00
          grass-L_factor[1,0]     -0.03      0.57     -0.04     -0.95      0.78    219.94      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    256.75      1.00
          grass-kernel_length      1.85      1.17      1.60      0.33      3.34    305.80      1.00
             grass-kernel_var      6.88     34.12      0.81      0.00     11.44    448.41      1.00
           grass-proj_mean[0]      0.05      0.97      0.09     -1.47      1.52    468.57      1.00
           grass-proj_mean[1]     -0.14      0.55     -0.20     -1.00      0.84    351.18      1.00
              grass-sigmas[0]      1.66      1.96      1.08      0.06      3.78    402.13      1.00
              grass-sigmas[1]      1.47      1.92      0.94      0.06      3.07    408.54      1.00
grass-standard_proj_params[0]     -0.03      1.01     -0.04     -1.62      1.68    343.25      1.00
grass-standard_proj_params[1]     -0.64      0.86     -0.59     -2.07      0.54    406.35      1.00
grass-standard_proj_params[2]     -0.07      1.00     -0.06     -1.52      1.70    321.14      1.00
grass-standard_proj_params[3]      0.65      0.69      0.68     -0.38      1.86    281.54      1.00
grass-standard_proj_params[4]     -0.07      1.01     -0.03     -1.68      1.69    308.80      1.00
grass-standard_proj_params[5]      0.16      0.73      0.16     -0.94      1.37    457.71      1.00
grass-standard_proj_params[6]     -0.05      1.07      0.02     -1.89      1.57    373.12      1.00
grass-standard_proj_params[7]      0.90      0.83      0.93     -0.45      2.26    395.53      1.00
grass-standard_proj_params[8]      0.01      0.97      0.00     -1.51      1.69    383.23      1.00
grass-standard_proj_params[9]      0.41      0.78      0.39     -0.76      1.66    366.58      1.00
            reg-kernel_length      0.48      0.07      0.48      0.35      0.59    360.94      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.10      0.15    437.59      1.00
               reg-kernel_var      2.24      1.62      1.81      0.67      3.76    363.32      1.00

Number of divergences: 3
