
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.01      0.57     -0.03     -0.80      0.96    171.76      1.00
          grass-L_factor[1,0]     -0.01      0.57     -0.03     -0.80      0.96    171.76      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    386.32      1.00
           grass-proj_mean[0]      0.16      1.09      0.13     -1.56      2.07    131.58      1.02
           grass-proj_mean[1]     -0.05      0.37     -0.02     -0.78      0.43    145.14      1.06
              grass-sigmas[0]      1.72      3.81      0.98      0.05      3.61    459.97      1.00
              grass-sigmas[1]      0.78      0.32      0.72      0.37      1.43     17.00      1.06
grass-standard_proj_params[0]      0.15      0.89      0.14     -1.16      1.58    154.73      1.01
grass-standard_proj_params[1]      0.08      0.67      0.14     -1.21      1.04    192.91      1.01
grass-standard_proj_params[2]      0.05      0.83      0.09     -1.38      1.25    183.75      1.01
grass-standard_proj_params[3]      0.23      0.68      0.24     -0.87      1.33    303.16      1.00
grass-standard_proj_params[4]     -0.06      0.91     -0.09     -1.44      1.45    203.39      1.02
grass-standard_proj_params[5]     -0.53      0.73     -0.51     -1.65      0.73     49.08      1.08
grass-standard_proj_params[6]      0.07      1.05      0.14     -1.44      1.82    248.80      1.00
grass-standard_proj_params[7]      0.77      0.78      0.82     -0.35      2.19    385.98      1.01
grass-standard_proj_params[8]      0.05      1.21      0.12     -1.79      2.01    185.90      1.00
grass-standard_proj_params[9]     -1.06      0.85     -1.02     -2.61      0.13     30.47      1.09

Number of divergences: 2
