
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.05      0.59      0.09     -0.80      1.00    180.58      1.01
          grass-L_factor[1,0]      0.05      0.59      0.09     -0.80      1.00    180.58      1.01
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    251.80      1.00
          grass-kernel_length      2.20      2.04      1.49      0.32      4.76    238.78      1.00
             grass-kernel_var      1.59     11.76      0.15      0.00      2.41    471.71      1.00
              grass-sigmas[0]      1.56      1.93      0.91      0.05      3.65    470.08      1.00
              grass-sigmas[1]      1.38      1.36      0.93      0.07      2.78    378.69      1.00
grass-standard_proj_params[0]     -0.11      1.02     -0.05     -1.66      1.59    278.80      1.01
grass-standard_proj_params[1]     -0.85      0.77     -0.82     -2.29      0.34    357.72      1.00
grass-standard_proj_params[2]     -0.00      0.98      0.07     -1.81      1.37    366.42      1.00
grass-standard_proj_params[3]      0.33      0.73      0.33     -0.80      1.38    374.19      1.00
grass-standard_proj_params[4]     -0.03      0.93     -0.03     -1.43      1.58    465.52      1.00
grass-standard_proj_params[5]      0.48      0.88      0.50     -0.85      1.90    486.77      1.00
grass-standard_proj_params[6]      0.04      1.04      0.08     -1.72      1.65    485.81      1.00
grass-standard_proj_params[7]      0.36      0.92      0.33     -1.06      1.98    534.52      1.00
grass-standard_proj_params[8]     -0.03      0.93     -0.05     -1.61      1.52    303.23      1.00
grass-standard_proj_params[9]      0.40      0.85      0.43     -1.11      1.60    416.23      1.01
            reg-kernel_length      0.59      0.09      0.59      0.46      0.75    445.70      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.15    444.48      1.00
               reg-kernel_var      2.88      2.52      2.20      0.52      4.99    434.40      1.00

Number of divergences: 0
