
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.03      0.13     -0.02     -0.25      0.16      8.06      1.20
          grass-L_factor[1,0]     -0.03      0.13     -0.02     -0.25      0.16      8.06      1.20
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    467.44      1.00
           grass-proj_mean[0]     -0.00      0.92      0.10     -1.43      1.82     11.61      1.00
           grass-proj_mean[1]      0.37      0.76      0.24     -0.79      1.59     23.38      1.21
              grass-sigmas[0]      1.96      1.12      1.76      0.49      3.47     23.46      1.09
              grass-sigmas[1]     30.56      7.22     28.51     18.95     41.26      4.68      1.67
grass-standard_proj_params[0]     -0.53      1.57     -0.67     -2.67      1.76      3.68      1.37
grass-standard_proj_params[1]     -0.08      0.18     -0.09     -0.39      0.22     14.14      1.14
grass-standard_proj_params[2]     -0.14      0.50     -0.00     -0.97      0.66      4.09      1.68
grass-standard_proj_params[3]     -0.00      0.08      0.02     -0.15      0.14      7.57      1.15
grass-standard_proj_params[4]      0.16      1.31      0.15     -1.67      2.08      3.56      2.31
grass-standard_proj_params[5]     -0.08      0.16     -0.09     -0.30      0.22     11.63      1.08
grass-standard_proj_params[6]     -0.08      0.80     -0.08     -1.49      1.19     21.04      1.02
grass-standard_proj_params[7]     -0.12      0.10     -0.12     -0.32      0.01     37.82      1.01
grass-standard_proj_params[8]      0.61      0.84      0.65     -0.70      1.87      7.34      1.01
grass-standard_proj_params[9]      2.86      0.61      2.96      1.80      3.56      4.14      1.74

Number of divergences: 0
