
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.02      0.55     -0.08     -0.92      0.81    230.76      1.00
          grass-L_factor[1,0]     -0.02      0.55     -0.08     -0.92      0.81    230.76      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    414.04      1.00
           grass-proj_mean[0]     -0.00      1.01     -0.03     -1.69      1.61    383.11      1.00
           grass-proj_mean[1]      0.20      0.98      0.12     -1.42      1.77    456.15      1.00
              grass-sigmas[0]      1.82      2.85      0.99      0.06      3.63    483.91      1.00
              grass-sigmas[1]      3.16      1.20      2.94      1.30      4.72    436.46      1.00
grass-standard_proj_params[0]      0.06      0.85      0.01     -0.98      1.89     69.37      1.00
grass-standard_proj_params[1]      0.27      0.57      0.28     -0.64      1.08    326.26      1.00
grass-standard_proj_params[2]     -0.03      1.19     -0.02     -1.86      1.96    232.65      1.01
grass-standard_proj_params[3]      1.23      0.69      1.19      0.29      2.43    386.19      1.01
grass-standard_proj_params[4]      0.01      0.98      0.09     -1.70      1.49    406.98      1.00
grass-standard_proj_params[5]      0.79      0.97      0.78     -1.02      2.13    265.13      1.00
grass-standard_proj_params[6]      0.06      0.99      0.07     -1.77      1.39    435.35      1.00
grass-standard_proj_params[7]      0.36      0.90      0.42     -1.28      1.71    372.42      1.00
grass-standard_proj_params[8]      0.01      1.06     -0.01     -1.66      1.63    476.65      1.00
grass-standard_proj_params[9]      0.67      1.02      0.62     -0.81      2.35    156.55      1.01

Number of divergences: 18
