
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.01      0.57      0.02     -0.83      0.93    111.58      1.00
          grass-L_factor[1,0]      0.01      0.57      0.02     -0.83      0.93    111.58      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    325.72      1.00
          grass-kernel_length      0.03      0.04      0.01      0.00      0.08    495.74      1.00
             grass-kernel_var      7.31     22.02      1.02      0.00     14.50    308.65      1.00
              grass-sigmas[0]      1.57      1.72      1.02      0.08      3.56    463.48      1.00
              grass-sigmas[1]      1.33      1.32      0.90      0.07      2.87    440.59      1.00
grass-standard_proj_params[0]     -0.03      0.81     -0.04     -1.24      1.37    348.85      1.00
grass-standard_proj_params[1]      0.01      0.55     -0.01     -0.97      0.86    347.38      1.00
grass-standard_proj_params[2]     -0.02      1.29      0.03     -2.26      1.76    136.88      1.00
grass-standard_proj_params[3]      1.30      0.78      1.38      0.05      2.49    177.64      1.01
grass-standard_proj_params[4]      0.06      0.86      0.05     -1.59      1.29    349.90      1.00
grass-standard_proj_params[5]     -0.29      0.58     -0.34     -1.13      0.79    278.24      1.00
grass-standard_proj_params[6]      0.02      1.00      0.07     -1.68      1.52    238.49      1.00
grass-standard_proj_params[7]      0.83      0.67      0.90     -0.18      1.93    273.78      1.00
grass-standard_proj_params[8]      0.02      0.94      0.00     -1.34      1.62    203.45      1.00
grass-standard_proj_params[9]     -0.69      0.66     -0.76     -1.75      0.47    252.55      1.00
            reg-kernel_length      0.25      0.05      0.25      0.16      0.33    419.52      1.00
             reg-kernel_noise      0.22      0.03      0.22      0.16      0.27    443.42      1.00
               reg-kernel_var      1.14      0.55      1.03      0.47      1.82    433.16      1.00

Number of divergences: 0
