
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.10      0.53      0.16     -0.75      0.89     16.11      1.01
          grass-L_factor[1,0]      0.10      0.53      0.16     -0.75      0.89     16.11      1.01
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    269.87      1.00
           grass-proj_mean[0]      0.05      1.01      0.01     -1.37      1.62     52.69      1.01
           grass-proj_mean[1]      0.19      1.09      0.16     -1.46      1.89     56.99      1.01
              grass-sigmas[0]      1.59      1.95      0.97      0.09      3.55     82.33      1.01
              grass-sigmas[1]     17.56      6.03     16.38      9.19     25.89     37.81      1.04
grass-standard_proj_params[0]     -0.15      1.00     -0.01     -2.37      1.02      5.96      1.45
grass-standard_proj_params[1]      0.09      0.53     -0.01     -0.73      1.06     14.43      1.00
grass-standard_proj_params[2]     -0.04      1.00     -0.13     -1.52      1.41     25.34      1.00
grass-standard_proj_params[3]      0.33      0.54      0.39     -0.52      1.35     43.21      1.01
grass-standard_proj_params[4]     -0.03      1.04      0.07     -1.79      1.49     34.57      1.04
grass-standard_proj_params[5]     -0.59      0.64     -0.59     -1.69      0.42     70.43      1.00
grass-standard_proj_params[6]     -0.07      1.04      0.00     -1.84      1.49     45.68      1.00
grass-standard_proj_params[7]     -1.37      0.77     -1.31     -2.74     -0.15     48.43      1.05
grass-standard_proj_params[8]      0.02      1.00      0.04     -1.55      1.74     93.20      1.00
grass-standard_proj_params[9]     -2.41      0.67     -2.40     -3.38     -1.19     53.59      1.03

Number of divergences: 8
