
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.00      0.56      0.00     -0.76      0.97    263.93      1.00
          grass-L_factor[1,0]     -0.00      0.56      0.00     -0.76      0.97    263.93      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    256.06      1.00
          grass-kernel_length      2.89      2.89      1.90      0.25      6.42    303.93      1.00
             grass-kernel_var      9.03     51.30      0.64      0.00     12.16    505.02      1.00
           grass-proj_mean[0]      0.04      0.96      0.05     -1.47      1.72    470.75      1.00
           grass-proj_mean[1]      0.28      0.59      0.31     -0.73      1.20    377.04      1.00
              grass-sigmas[0]      1.63      1.83      1.04      0.07      3.59    356.61      1.00
              grass-sigmas[1]      1.48      1.86      0.96      0.07      2.98    344.18      1.00
grass-standard_proj_params[0]      0.03      0.96      0.04     -1.66      1.50    409.14      1.00
grass-standard_proj_params[1]      0.43      0.84      0.37     -0.86      1.86    356.58      1.00
grass-standard_proj_params[2]     -0.04      1.06     -0.07     -1.50      2.07    278.76      1.00
grass-standard_proj_params[3]     -0.73      0.76     -0.74     -2.04      0.47    403.44      1.00
grass-standard_proj_params[4]      0.01      0.95      0.00     -1.44      1.68    489.47      1.00
grass-standard_proj_params[5]     -0.63      0.90     -0.63     -2.09      0.84    270.12      1.00
grass-standard_proj_params[6]     -0.08      1.01     -0.08     -1.98      1.39    371.92      1.00
grass-standard_proj_params[7]     -0.23      0.95     -0.18     -1.72      1.34    346.21      1.00
grass-standard_proj_params[8]      0.00      0.98      0.03     -1.52      1.71    507.37      1.00
grass-standard_proj_params[9]     -0.12      0.92     -0.12     -1.62      1.24    326.02      1.00
            reg-kernel_length      0.46      0.07      0.45      0.33      0.55    446.50      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.09      0.14    524.60      1.00
               reg-kernel_var      2.12      1.32      1.78      0.63      3.68    404.92      1.00

Number of divergences: 1
