
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.03      0.62      0.05     -0.80      0.99    243.95      1.00
          grass-L_factor[1,0]      0.03      0.62      0.05     -0.80      0.99    243.95      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    302.45      1.00
          grass-kernel_length      2.04      1.83      1.42      0.32      3.95    246.84      1.00
             grass-kernel_var      1.02      4.18      0.15      0.00      1.56    457.00      1.00
              grass-sigmas[0]      1.54      1.94      0.92      0.08      3.28    387.63      1.00
              grass-sigmas[1]      1.33      1.33      0.91      0.04      2.88    442.26      1.00
grass-standard_proj_params[0]     -0.12      1.06     -0.08     -1.69      1.61    303.31      1.00
grass-standard_proj_params[1]     -0.86      0.78     -0.85     -2.15      0.39    374.63      1.00
grass-standard_proj_params[2]      0.01      0.98      0.01     -1.52      1.61    342.78      1.00
grass-standard_proj_params[3]      0.25      0.74      0.24     -0.99      1.42    351.95      1.00
grass-standard_proj_params[4]      0.06      0.92      0.05     -1.49      1.47    453.99      1.00
grass-standard_proj_params[5]      0.52      0.87      0.55     -0.97      1.98    435.98      1.00
grass-standard_proj_params[6]      0.08      1.01      0.06     -1.47      1.84    503.45      1.00
grass-standard_proj_params[7]      0.38      0.86      0.34     -0.96      1.85    478.49      1.00
grass-standard_proj_params[8]     -0.06      0.92     -0.11     -1.56      1.37    466.18      1.00
grass-standard_proj_params[9]      0.40      0.85      0.38     -0.92      1.81    424.77      1.00
            reg-kernel_length      0.60      0.09      0.60      0.45      0.75    376.38      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.16    532.36      1.00
               reg-kernel_var      2.97      2.55      2.15      0.59      6.51    278.73      1.00

Number of divergences: 2
