
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.03      0.56      0.03     -0.77      0.97    367.27      1.00
          grass-L_factor[1,0]      0.03      0.56      0.03     -0.77      0.97    367.27      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    316.55      1.00
          grass-kernel_length      3.06      2.80      2.18      0.31      7.02    315.05      1.00
             grass-kernel_var     17.39    125.25      0.67      0.00     17.87    241.39      1.00
           grass-proj_mean[0]      0.02      1.00      0.02     -1.46      1.74    523.41      1.00
           grass-proj_mean[1]      0.27      0.62      0.33     -0.87      1.22    391.78      1.00
              grass-sigmas[0]      1.72      2.13      1.06      0.05      3.84    447.57      1.00
              grass-sigmas[1]      1.45      1.52      0.94      0.08      3.18    376.47      1.00
grass-standard_proj_params[0]     -0.08      0.94     -0.09     -1.66      1.35    464.37      1.01
grass-standard_proj_params[1]      0.43      0.80      0.40     -0.78      1.77    502.20      1.00
grass-standard_proj_params[2]      0.02      1.05     -0.03     -1.65      1.64    359.26      1.00
grass-standard_proj_params[3]     -0.73      0.79     -0.73     -2.09      0.45    369.51      1.00
grass-standard_proj_params[4]     -0.02      0.98     -0.01     -1.66      1.47    349.86      1.00
grass-standard_proj_params[5]     -0.70      0.82     -0.73     -1.88      0.76    451.97      1.00
grass-standard_proj_params[6]      0.03      1.00      0.02     -1.52      1.74    359.20      1.00
grass-standard_proj_params[7]     -0.21      0.93     -0.22     -1.84      1.39    441.03      1.00
grass-standard_proj_params[8]      0.03      0.97      0.07     -1.74      1.44    530.01      1.00
grass-standard_proj_params[9]     -0.06      0.87     -0.05     -1.55      1.23    438.82      1.00
            reg-kernel_length      0.46      0.07      0.45      0.35      0.58    445.67      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.09      0.14    490.00      1.00
               reg-kernel_var      2.12      1.37      1.76      0.63      3.74    377.19      1.01

Number of divergences: 0
