
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.27      0.47      0.26     -0.36      0.99      9.54      1.23
          grass-L_factor[1,0]      0.27      0.47      0.26     -0.36      0.99      9.54      1.23
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    199.40      1.00
           grass-proj_mean[0]      0.02      1.02     -0.07     -1.24      1.85     41.37      1.00
           grass-proj_mean[1]     -0.08      0.99     -0.18     -1.77      1.42     75.66      1.00
              grass-sigmas[0]      1.98      2.21      1.25      0.14      4.62     61.73      1.01
              grass-sigmas[1]     19.32      6.77     17.77      9.69     29.22     31.88      1.07
grass-standard_proj_params[0]     -0.09      1.19      0.06     -2.45      1.35      4.66      1.65
grass-standard_proj_params[1]     -0.16      0.68      0.01     -1.48      0.70     10.60      1.23
grass-standard_proj_params[2]     -0.01      1.07     -0.02     -1.81      1.48     21.54      1.03
grass-standard_proj_params[3]      0.35      0.52      0.34     -0.79      1.08     19.59      1.07
grass-standard_proj_params[4]     -0.05      1.10      0.06     -1.77      1.69     14.75      1.13
grass-standard_proj_params[5]     -0.50      0.63     -0.50     -1.67      0.47     58.97      1.03
grass-standard_proj_params[6]     -0.14      1.14     -0.19     -1.95      1.68     26.30      1.03
grass-standard_proj_params[7]     -1.24      0.76     -1.28     -2.44      0.11     31.66      1.05
grass-standard_proj_params[8]      0.00      0.97      0.02     -1.84      1.38     63.18      1.02
grass-standard_proj_params[9]     -2.38      0.65     -2.42     -3.33     -1.12     38.49      1.04

Number of divergences: 9
