
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.04      0.57     -0.09     -1.00      0.78    261.60      1.02
          grass-L_factor[1,0]     -0.04      0.57     -0.09     -1.00      0.78    261.60      1.02
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00     36.74      1.00
          grass-kernel_length      3.25      4.53      1.65      0.00      7.34     22.22      1.08
             grass-kernel_var      2.72      9.19      0.23      0.00      9.81    264.25      1.01
           grass-proj_mean[0]      0.04      0.95     -0.02     -1.65      1.51    145.57      1.01
           grass-proj_mean[1]     -0.13      0.41     -0.14     -0.78      0.61    104.89      1.00
              grass-sigmas[0]      1.60      1.92      1.01      0.11      3.14    324.83      1.01
              grass-sigmas[1]      1.30      1.44      0.87      0.07      2.62    489.74      1.00
grass-standard_proj_params[0]      0.06      1.03     -0.09     -1.55      1.82    276.53      1.01
grass-standard_proj_params[1]     -0.47      0.88     -0.43     -1.74      1.11    220.16      1.01
grass-standard_proj_params[2]     -0.05      0.97     -0.06     -1.61      1.45    196.71      1.01
grass-standard_proj_params[3]      0.35      0.78      0.35     -0.97      1.46    135.41      1.00
grass-standard_proj_params[4]     -0.01      0.98      0.06     -1.70      1.43    443.55      1.00
grass-standard_proj_params[5]      0.62      0.82      0.66     -0.62      2.17    290.24      1.03
grass-standard_proj_params[6]      0.02      1.03     -0.01     -1.79      1.74    355.20      1.01
grass-standard_proj_params[7]      0.40      0.92      0.37     -1.02      1.68    115.27      1.01
grass-standard_proj_params[8]      0.00      0.93      0.04     -1.63      1.39    502.40      1.00
grass-standard_proj_params[9]      0.38      0.94      0.45     -1.11      1.72    105.23      1.00
            reg-kernel_length      0.59      0.09      0.58      0.45      0.75    333.89      1.00
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.15    291.05      1.00
               reg-kernel_var      2.92      2.32      2.20      0.59      5.88    405.37      1.00

Number of divergences: 1
