
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.05      0.58     -0.03     -0.96      0.77    232.63      1.00
          grass-L_factor[1,0]     -0.05      0.58     -0.03     -0.96      0.77    232.63      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    231.03      1.00
          grass-kernel_length      2.77      3.53      1.68      0.00      5.89    317.05      1.00
             grass-kernel_var      3.10     13.20      0.22      0.00      5.70    420.32      1.00
           grass-proj_mean[0]      0.02      0.96      0.05     -1.76      1.44    344.15      1.01
           grass-proj_mean[1]     -0.15      0.45     -0.18     -0.81      0.76    271.02      1.00
              grass-sigmas[0]      1.55      1.69      0.92      0.08      3.72    479.54      1.00
              grass-sigmas[1]      1.34      1.49      0.85      0.06      2.85    310.39      1.00
grass-standard_proj_params[0]      0.08      1.00      0.07     -1.66      1.61    390.60      1.00
grass-standard_proj_params[1]     -0.42      0.91     -0.39     -2.27      0.80    364.75      1.00
grass-standard_proj_params[2]     -0.02      1.04     -0.02     -1.56      1.84    390.56      1.00
grass-standard_proj_params[3]      0.29      0.73      0.28     -0.84      1.51    320.46      1.01
grass-standard_proj_params[4]     -0.07      1.01     -0.05     -1.61      1.83    349.69      1.00
grass-standard_proj_params[5]      0.64      0.85      0.66     -0.81      2.01    420.31      1.00
grass-standard_proj_params[6]     -0.02      1.09     -0.00     -1.60      2.01    420.36      1.01
grass-standard_proj_params[7]      0.57      0.91      0.53     -0.90      1.94    420.65      1.00
grass-standard_proj_params[8]     -0.07      1.02     -0.10     -1.66      1.65    468.21      1.00
grass-standard_proj_params[9]      0.47      0.90      0.46     -1.06      1.82    447.20      1.00
            reg-kernel_length      0.59      0.09      0.59      0.45      0.75    299.09      1.01
             reg-kernel_noise      0.13      0.02      0.13      0.10      0.16    459.80      1.00
               reg-kernel_var      2.85      2.42      2.07      0.56      5.67    260.28      1.00

Number of divergences: 0
