
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.01      0.58      0.04     -0.82      0.93    249.75      1.00
          grass-L_factor[1,0]      0.01      0.58      0.04     -0.82      0.93    249.75      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    238.47      1.00
          grass-kernel_length      3.23      3.05      2.13      0.29      7.90    144.69      1.01
             grass-kernel_var     13.23     48.92      0.87      0.00     23.23    282.48      1.01
           grass-proj_mean[0]      0.06      1.05      0.07     -1.69      1.69    489.72      1.00
           grass-proj_mean[1]      0.23      0.63      0.29     -0.89      1.28    270.16      1.00
              grass-sigmas[0]      1.55      1.83      1.02      0.07      3.26    509.49      1.00
              grass-sigmas[1]      1.46      1.72      0.92      0.04      3.28    436.87      1.00
grass-standard_proj_params[0]     -0.04      1.02     -0.04     -1.63      1.71    362.56      1.00
grass-standard_proj_params[1]      0.44      0.82      0.40     -0.90      1.72    369.11      1.00
grass-standard_proj_params[2]      0.00      1.11     -0.00     -1.81      1.83    282.44      1.00
grass-standard_proj_params[3]     -0.76      0.81     -0.79     -2.17      0.52    303.85      1.00
grass-standard_proj_params[4]     -0.03      0.99     -0.02     -1.67      1.66    474.72      1.00
grass-standard_proj_params[5]     -0.64      0.87     -0.58     -2.06      0.79    462.96      1.00
grass-standard_proj_params[6]      0.03      0.97      0.07     -1.47      1.72    358.45      1.00
grass-standard_proj_params[7]     -0.20      0.89     -0.14     -1.70      1.25    458.26      1.00
grass-standard_proj_params[8]     -0.06      0.92     -0.06     -1.75      1.34    425.12      1.00
grass-standard_proj_params[9]     -0.08      0.87     -0.05     -1.45      1.31    398.41      1.01
            reg-kernel_length      0.45      0.07      0.45      0.33      0.55    463.64      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.10      0.15    441.01      1.00
               reg-kernel_var      2.07      1.35      1.76      0.62      3.28    417.73      1.00

Number of divergences: 2
