
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.04      0.63     -0.06     -0.97      0.90     45.61      1.10
          grass-L_factor[1,0]     -0.04      0.63     -0.06     -0.97      0.90     45.61      1.10
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    471.86      1.00
           grass-proj_mean[0]      0.09      1.02      0.11     -1.54      1.84    125.74      1.00
           grass-proj_mean[1]     -0.12      0.99     -0.11     -1.66      1.54    184.99      1.00
              grass-sigmas[0]      1.91      2.42      1.16      0.08      4.45    154.41      1.00
              grass-sigmas[1]      4.81      2.54      4.84      0.55      8.27     61.27      1.02
grass-standard_proj_params[0]     -0.07      0.73     -0.10     -1.35      1.04     47.10      1.02
grass-standard_proj_params[1]     -0.03      0.62     -0.01     -1.09      0.90     83.92      1.00
grass-standard_proj_params[2]     -0.09      0.91     -0.08     -1.55      1.28     97.13      1.01
grass-standard_proj_params[3]      0.41      0.72      0.47     -0.93      1.46     54.24      1.01
grass-standard_proj_params[4]      0.16      1.11      0.07     -1.44      2.18     82.50      1.00
grass-standard_proj_params[5]     -0.99      1.03     -1.07     -2.64      0.57     72.81      1.01
grass-standard_proj_params[6]     -0.05      1.04     -0.10     -1.58      1.73     80.85      1.00
grass-standard_proj_params[7]     -0.87      0.94     -0.89     -2.37      0.65    161.85      1.00
grass-standard_proj_params[8]      0.09      1.07      0.12     -1.38      2.10    119.07      1.02
grass-standard_proj_params[9]     -1.40      0.95     -1.46     -2.78      0.33    146.78      1.00

Number of divergences: 47
