
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.00      0.60     -0.01     -0.94      0.85    203.89      1.01
          grass-L_factor[1,0]     -0.00      0.60     -0.01     -0.94      0.85    203.89      1.01
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    445.18      1.00
          grass-kernel_length      2.62      1.85      1.97      0.49      5.61    216.98      1.00
             grass-kernel_var      5.31     20.49      0.70      0.00     10.15    360.78      1.00
              grass-sigmas[0]      1.72      2.52      1.03      0.10      3.69    390.18      1.00
              grass-sigmas[1]      1.42      1.41      1.02      0.09      2.92    454.13      1.00
grass-standard_proj_params[0]     -0.12      1.03     -0.10     -1.53      1.83    281.39      1.00
grass-standard_proj_params[1]      0.70      0.78      0.67     -0.52      2.05    298.87      1.00
grass-standard_proj_params[2]     -0.09      1.09     -0.05     -2.22      1.33    257.70      1.00
grass-standard_proj_params[3]     -0.73      0.75     -0.71     -2.03      0.45    380.62      1.00
grass-standard_proj_params[4]      0.04      0.95      0.03     -1.47      1.56    366.65      1.00
grass-standard_proj_params[5]     -0.54      0.89     -0.56     -2.11      0.78    402.68      1.01
grass-standard_proj_params[6]      0.07      0.96      0.05     -1.41      1.65    396.31      1.00
grass-standard_proj_params[7]     -0.03      0.89     -0.04     -1.39      1.39    323.24      1.00
grass-standard_proj_params[8]     -0.02      0.93      0.01     -1.45      1.41    416.65      1.00
grass-standard_proj_params[9]      0.02      0.85     -0.01     -1.35      1.41    411.86      1.02
            reg-kernel_length      0.46      0.07      0.46      0.37      0.57    286.81      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.09      0.14    388.14      1.00
               reg-kernel_var      2.22      1.56      1.78      0.71      3.92    258.31      1.00

Number of divergences: 0
