
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]      0.04      0.59      0.05     -0.79      0.99    220.72      1.00
          grass-L_factor[1,0]      0.04      0.59      0.05     -0.79      0.99    220.72      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00     42.61      1.00
           grass-proj_mean[0]      0.06      1.00      0.04     -1.72      1.52    535.58      1.00
           grass-proj_mean[1]     -0.41      0.53     -0.40     -1.25      0.36    390.41      1.00
              grass-sigmas[0]      1.88      2.81      1.07      0.05      4.13    425.62      1.00
              grass-sigmas[1]      1.23      0.44      1.15      0.66      1.80    319.64      1.00
grass-standard_proj_params[0]      0.02      0.86      0.05     -1.33      1.44    455.32      1.00
grass-standard_proj_params[1]      0.24      0.64      0.26     -0.69      1.31    393.16      1.01
grass-standard_proj_params[2]     -0.09      1.15     -0.00     -1.73      1.99    307.95      1.00
grass-standard_proj_params[3]     -0.90      0.74     -0.94     -2.14      0.25    339.45      1.00
grass-standard_proj_params[4]      0.05      0.82      0.04     -1.35      1.33    396.09      1.00
grass-standard_proj_params[5]      0.10      0.70      0.09     -1.11      1.25    379.81      1.00
grass-standard_proj_params[6]      0.10      1.14      0.10     -1.84      1.88    303.92      1.00
grass-standard_proj_params[7]      0.95      0.85      1.02     -0.30      2.55    427.33      1.00
grass-standard_proj_params[8]     -0.06      1.04     -0.01     -1.93      1.41    338.96      1.00
grass-standard_proj_params[9]     -0.77      0.75     -0.81     -2.00      0.47    256.33      1.01

Number of divergences: 0
