
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.21      0.54     -0.50     -0.97      0.68     26.82      1.06
          grass-L_factor[1,0]     -0.21      0.54     -0.50     -0.97      0.68     26.82      1.06
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    355.60      1.00
          grass-kernel_length      2.38      2.03      2.28      0.39      4.06    197.53      1.00
             grass-kernel_var      1.47     10.64      0.45      0.00      1.22    438.23      1.00
              grass-sigmas[0]      3.18      3.06      1.58      0.26      7.61      6.15      1.29
              grass-sigmas[1]      1.67      1.12      1.61      0.11      2.66     25.83      1.06
grass-standard_proj_params[0]      0.21      0.93      0.51     -1.47      1.62    202.50      1.03
grass-standard_proj_params[1]     -0.55      0.86     -0.47     -2.00      0.32     12.66      1.16
grass-standard_proj_params[2]     -0.22      0.93     -0.49     -1.78      1.30     58.95      1.02
grass-standard_proj_params[3]      0.07      0.68     -0.07     -0.66      1.27     18.67      1.13
grass-standard_proj_params[4]     -0.14      0.87     -0.20     -1.53      1.47    592.62      1.00
grass-standard_proj_params[5]      0.54      0.75      0.46     -0.97      1.66    421.85      1.00
grass-standard_proj_params[6]     -0.31      0.99     -0.48     -1.48      1.39     19.33      1.12
grass-standard_proj_params[7]      0.63      0.81      0.87     -0.97      1.46     21.89      1.11
grass-standard_proj_params[8]     -0.31      0.99     -0.45     -1.25      1.65     15.21      1.11
grass-standard_proj_params[9]     -0.28      1.15     -0.13     -1.84      1.17      5.74      1.32
            reg-kernel_length      0.61      0.08      0.63      0.46      0.74    437.97      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.11      0.16     89.95      1.03
               reg-kernel_var      3.80      2.49      3.22      0.75      6.18     20.87      1.10

Number of divergences: 21
