
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.00      0.59      0.00     -0.97      0.81    139.34      1.02
          grass-L_factor[1,0]     -0.00      0.59      0.00     -0.97      0.81    139.34      1.02
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    369.76      1.00
          grass-kernel_length      2.09      1.63      1.67      0.45      3.66    163.08      1.00
             grass-kernel_var      6.85     25.37      0.63      0.00     19.84    336.20      1.00
              grass-sigmas[0]      1.42      1.50      0.90      0.05      3.42    397.93      1.00
              grass-sigmas[1]      1.34      1.27      0.95      0.06      2.96    408.84      1.00
grass-standard_proj_params[0]      0.01      1.05     -0.00     -1.58      1.84    208.95      1.01
grass-standard_proj_params[1]     -0.85      0.80     -0.84     -2.30      0.35    248.61      1.00
grass-standard_proj_params[2]      0.00      0.97     -0.02     -1.45      1.58    193.98      1.02
grass-standard_proj_params[3]      0.67      0.65      0.69     -0.37      1.76    341.18      1.00
grass-standard_proj_params[4]      0.02      0.93     -0.00     -1.61      1.43    380.53      1.00
grass-standard_proj_params[5]      0.12      0.77      0.10     -1.12      1.34    424.49      1.01
grass-standard_proj_params[6]     -0.02      1.01     -0.06     -1.73      1.59    327.26      1.01
grass-standard_proj_params[7]      0.89      0.78      0.91     -0.38      2.25    428.09      1.00
grass-standard_proj_params[8]     -0.02      1.01     -0.01     -1.82      1.51    398.60      1.00
grass-standard_proj_params[9]      0.22      0.80      0.22     -1.05      1.60    436.10      1.00
            reg-kernel_length      0.48      0.07      0.48      0.36      0.58    343.13      1.00
             reg-kernel_noise      0.12      0.02      0.12      0.10      0.15    481.27      1.00
               reg-kernel_var      2.33      1.68      1.90      0.78      4.13    287.65      1.00

Number of divergences: 0
