
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.03      0.59     -0.03     -0.98      0.82    173.20      1.00
          grass-L_factor[1,0]     -0.03      0.59     -0.03     -0.98      0.82    173.20      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    470.09      1.00
          grass-kernel_length      2.17      1.56      1.79      0.27      3.92    113.42      1.00
             grass-kernel_var     16.12     58.95      1.02      0.00     32.09     74.09      1.00
           grass-proj_mean[0]      0.10      0.97      0.09     -1.48      1.68    396.33      1.00
           grass-proj_mean[1]     -0.04      0.63     -0.11     -0.99      1.07    192.65      1.00
              grass-sigmas[0]      1.63      1.75      1.00      0.08      4.09    307.13      1.00
              grass-sigmas[1]      1.30      1.44      0.88      0.07      2.80    350.57      1.00
grass-standard_proj_params[0]     -0.02      1.01      0.02     -1.72      1.45    228.77      1.00
grass-standard_proj_params[1]     -0.60      0.85     -0.60     -2.07      0.69    334.98      1.00
grass-standard_proj_params[2]     -0.00      0.92     -0.01     -1.42      1.50    256.42      1.00
grass-standard_proj_params[3]      0.68      0.65      0.66     -0.34      1.76    203.99      1.00
grass-standard_proj_params[4]     -0.11      1.03     -0.09     -1.86      1.68    197.37      1.00
grass-standard_proj_params[5]      0.09      0.77      0.05     -1.07      1.42    253.03      1.00
grass-standard_proj_params[6]      0.04      1.00      0.01     -1.72      1.42    325.49      1.00
grass-standard_proj_params[7]      0.91      0.81      0.89     -0.39      2.20    338.72      1.00
grass-standard_proj_params[8]      0.04      0.98      0.02     -1.56      1.58    295.49      1.00
grass-standard_proj_params[9]      0.34      0.82      0.40     -1.14      1.42    174.76      1.00
            reg-kernel_length      0.47      0.08      0.47      0.33      0.59    223.19      1.01
             reg-kernel_noise      0.12      0.02      0.12      0.10      0.15    357.09      1.00
               reg-kernel_var      2.17      1.49      1.76      0.68      3.79    222.79      1.01

Number of divergences: 2
